record_id,model_name,model_family,first_release_year,publication_year,publication_status,bibliographic_title,authors,venue,doi,arxiv_id,url,zotero_key,candidate_id,observation_pathways,modality_group,multimodal,temporal_support,explicit_temporal,resolution_min_m,resolution_max_m,resolution_mid_m,parameters_m,ecohydrological_evidence,coding_basis,notes,release_date,release_year_v2,release_month_v2,release_date_basis,release_date_precision,metric_source,title
M019,Clay v1.5,Clay,2024,2024,Model card/product,Clay Foundation Model v1.5,Clay Foundation,,,,https://clay-foundation.github.io/model/,CCJEEPDD,zotero:CCJEEPDD,"O,M,A",Broader multisensor/ancillary,yes,Paired/short sequence,yes,0.5,500.0,15.811388300841896,311.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-11-19,2024,11,Clay v1.5 release documentation,day,Retained v2 primary-paper coding; no v5 metric change.,
M026,Prithvi-EO-2.0,Prithvi-EO,2024,2025,Peer-reviewed,Prithvi-EO-2.0: A Versatile Multitemporal Foundation Model for Earth Observation Applications,Daniela Szwarcman; Sujit Roy; Paolo Fraccaro; Þorsteinn Elí Gíslason; Benedikt Blumenstiel; Rinki Ghosal; Pedro Henrique de Oliveira; Joao Lucas de Sousa Almeida; Rocco Sedona; Yanghui Kang; Srija Chakraborty; Sizhe Wang; Carlos Gomes; Ankur Kumar; Vishal Gaur; Myscon Truong; Denys Godwin; Sam Khallaghi; Hyunho Lee; Chia-Yu Hsu; Ata Akbari Asanjan; Besart Mujeci; Disha Shidham; Rufai Omowunmi Balogun; Venkatesh Kolluru; Trevor Keenan; Paulo Arevalo; Wenwen Li; Hamed Alemohammad; Pontus Olofsson; Timothy Mayer; Christopher Hain; Robert Kennedy; Bianca Zadrozny; David Bell; Gabriele Cavallaro; Campbell Watson; Manil Maskey; Rahul Ramachandran; Juan Bernabe Moreno,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2025.3642610,2412.02732,https://ieeexplore.ieee.org/abstract/document/11296896,HNU8RLY2,zotero:HNU8RLY2,"O,A",Broader multisensor/ancillary,yes,Paired/short sequence,yes,30.0,30.0,30.0,600.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-12-03,2024,12,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M018,AnySat,AnySat,2024,2025,Peer-reviewed,"AnySat: One Earth Observation Model for Many Resolutions, Scales, and Modalities",Guillaume Astruc; Nicolas Gonthier; Clément Mallet; Loic Landrieu,,,2412.14123,https://openaccess.thecvf.com/content/CVPR2025/html/Astruc_AnySat_One_Earth_Observation_Model_for_Many_Resolutions_Scales_and_CVPR_2025_paper.html,IKBD6AJP,zotero:IKBD6AJP,"O,M",Optical + microwave/SAR,yes,Explicit time series,yes,0.2,250.0,7.0710678118654755,127.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-12-18,2024,12,arXiv v1 (2412.14123),day,Retained v2 primary-paper coding; no v5 metric change.,
M029,SeaMo,SeaMo,2024,2025,Peer-reviewed,SeaMo: A season-aware multimodal foundation model for remote sensing,Xuyang Li; Chenyu Li; Gemine Vivone; Danfeng Hong,Information Fusion,10.1016/j.inffus.2025.103334,2412.19237,https://www.sciencedirect.com/science/article/pii/S1566253525004075,ANWTYPZG,zotero:ANWTYPZG,"O,M",Optical + microwave/SAR,yes,Explicit time series,yes,10.0,10.0,10.0,86.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2024-12-26,2024,12,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M022,Galileo,Galileo,2024,2025,Peer-reviewed,Galileo: Learning Global & Local Features of Many Remote Sensing Modalities,Gabriel Tseng; Anthony Fuller; Marlena Reil; Henry Herzog; Patrick Beukema; Favyen Bastani; James R. Green; Evan Shelhamer; Hannah Kerner; David Rolnick,,,2502.09356,https://proceedings.mlr.press/v267/tseng25a.html,QUZXJLFK,zotero:QUZXJLFK,"O,M,A",Broader multisensor/ancillary,yes,Explicit time series,yes,10.0,10.0,10.0,85.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2025-02-13,2025,2,arXiv v1 (2502.09356),day,Primary PDF states all Sentinel-1/2 inputs are aligned at 10 m and reports the 85M Base variant.,
M040,Panopticon,Panopticon,2025,2025,Peer-reviewed,Panopticon: Advancing Any-Sensor Foundation Models for Earth Observation,Leonard Waldmann; Ando Shah; Yi Wang; Nils Lehmann; Adam J. Stewart; Zhitong Xiong; Xiao Xiang Zhu; Stefan Bauer; John Chuang,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),10.1109/CVPRW67362.2025.00207,2503.10845,https://ieeexplore.ieee.org/document/11147876,5V8XWK8M,zotero:5V8XWK8M,"O,T,M",Broader multisensor/ancillary,yes,Single/snapshot,no,0.3,100.0,5.477225575051661,98.1,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2025-03-13,2025,3,Earliest indexed candidate record,day,"Primary PDF pretraining table reports fMoW, MMEarth, SatlasPretrain and SpectralEarth spanning 0.3-100 m; model size is 98.1M.",
M043,RoMA,RoMA,2025,2025,Preprint/technical report,RoMA: Scaling up Mamba-based Foundation Models for Remote Sensing,Fengxiang Wang; Yulin Wang; Mingshuo Chen; Haiyan Zhao; Yangang Sun; Shuo Wang; Hongzhen Wang; Di Wang; Long Lan; Wenjing Yang; Jing Zhang,arXiv,10.48550/arXiv.2503.10392,2503.10392,http://arxiv.org/abs/2503.10392,R2HZGVVQ,zotero:R2HZGVVQ,O,Optical only,no,Single/snapshot,no,,,,297.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2025-03-13,2025,3,Earliest indexed candidate record,day,Primary PDF reports a 297M Mamba-L variant; OpticalRS-4M does not provide a complete numeric pretraining GSD distribution.,
M036,Copernicus-FM,Copernicus-FM,2025,2025,Peer-reviewed,Towards a Unified Copernicus Foundation Model for Earth Vision,Yi Wang; Zhitong Xiong; Chenying Liu; Adam J. Stewart; Thomas Dujardin; Nikolaos Ioannis Bountos; Angelos Zavras; Franziska Gerken; Ioannis Papoutsis; Laura Leal-Taixé; Xiao Xiang Zhu,IEEE International Conference on Computer Vision,10.1109/iccv51701.2025.00922,2503.11849,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_Towards_a_Unified_Copernicus_Foundation_Model_for_Earth_Vision_ICCV_2025_paper.html,8GHVT52A,zotero:8GHVT52A,"O,T,M,A",Broader multisensor/ancillary,yes,Paired/short sequence,yes,10.0,1000.0,100.0,,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2025-03-14,2025,3,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M037,FlexiMo,FlexiMo,2025,2026,Peer-reviewed,FlexiMo: A Flexible Remote Sensing Foundation Model,Xuyang Li; Chenyu Li; Pedram Ghamisi; Danfeng Hong; Jón Atli Benediktsson; Jocelyn Chanussot,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2026.3656362,2503.23844,https://ieeexplore.ieee.org/document/11359569,NBLMK9QF,zotero:NBLMK9QF,"O,M",Optical + microwave/SAR,yes,Single/snapshot,no,,,,,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2025-03-31,2025,3,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M042,RingMoE,RingMo,2025,2025,Peer-reviewed,RingMoE: Mixture-of-Modality-Experts Multi-Modal Foundation Models for Universal Remote Sensing Image Interpretation,Hanbo Bi; Yingchao Feng; Boyuan Tong; Mengyu Wang; Haichen Yu; Yongqiang Mao; Hao Chang; Wenhui Diao; Peijin Wang; Yue Yu; Hanyang Peng; Yehong Zhang; Kun Fu; Xian Sun,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2025.3643453,2504.03166,https://ieeexplore.ieee.org/document/11298536,ZBAI3TXN,zotero:ZBAI3TXN,"O,M",Optical + microwave/SAR,yes,Single/snapshot,no,,,,14700.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2025-04-04,2025,4,Earliest indexed candidate record,day,Primary PDF reports 14.7B total parameters; numeric pretraining GSD is not disclosed for proprietary portions of RingMOSS.,
